candidate_id,centroid_z_mm,centroid_y_mm,centroid_x_mm,equiv_diameter_mm,voxel_count,mean_hu,max_hu,sphericity,slice_range
221,456.18,136.87,59.08,3.2,22,-301.7,-163.0,0.642,227-230
222,509.64,176.55,153.16,3.2,22,-80.8,295.0,0.546,254-257
223,554.18,142.45,66.86,3.2,22,-296.5,-142.0,0.557,275-281
224,554.27,174.48,123.08,3.2,22,-291.7,-103.0,0.638,275-279
225,688.82,178.33,133.73,3.2,22,-305.4,-144.0,0.631,344-346
226,688.0,199.15,101.7,3.2,22,-343.1,-276.0,0.831,344-344
227,58.0,118.17,250.05,3.15,21,-359.7,-330.0,0.76,29-29
228,67.14,121.17,247.71,3.15,21,-276.3,-50.0,0.577,33-36
229,220.0,175.37,250.17,3.15,21,-359.3,-245.0,0.708,110-110
230,234.0,144.37,35.45,3.15,21,-291.5,-134.0,0.526,113-121
231,250.0,203.29,108.23,3.15,21,-350.3,-296.0,0.708,125-125
232,322.86,120.04,256.7,3.15,21,-269.1,-80.0,0.681,159-163
233,328.0,200.83,253.7,3.15,21,-288.7,-31.0,0.603,162-166
234,379.9,113.22,130.1,3.15,21,-337.3,-204.0,0.624,189-191
235,400.1,168.43,212.55,3.15,21,-251.6,31.0,0.599,197-203
236,408.48,162.59,207.68,3.15,21,-210.0,169.0,0.536,202-206
237,422.95,171.16,221.06,3.15,21,-252.1,-74.0,0.687,210-213
238,494.76,188.96,269.25,3.15,21,-288.0,-131.0,0.618,245-250
239,643.24,184.93,231.48,3.15,21,-289.3,-99.0,0.534,318-326
240,670.29,196.59,81.26,3.15,21,-298.3,-51.0,0.733,335-336
241,71.7,126.23,258.72,3.1,20,-283.0,-130.0,0.531,34-39
242,209.1,110.19,240.78,3.1,20,-224.8,-28.0,0.601,102-107
243,222.0,197.57,214.11,3.1,20,-351.4,-301.0,0.831,111-111
244,227.2,238.38,201.37,3.1,20,-271.5,-104.0,0.667,112-116
245,260.9,209.13,235.11,3.1,20,-310.5,-223.0,0.773,130-131
246,264.0,140.31,125.11,3.1,20,-350.8,-324.0,0.707,132-132
247,321.0,212.68,210.96,3.1,20,-259.0,4.0,0.681,159-162
248,361.4,99.87,113.24,3.1,20,-216.1,6.0,0.747,179-182
249,365.3,175.42,110.53,3.1,20,-287.8,-64.0,0.649,181-184
250,374.6,148.38,224.48,3.1,20,-232.4,-32.0,0.56,185-189
251,408.0,153.8,121.37,3.1,20,-239.6,1.0,0.6,202-207
252,446.0,151.68,204.61,3.1,20,-218.3,-21.0,0.526,220-225
253,454.8,185.95,137.16,3.1,20,-331.4,-167.0,0.587,226-229
254,465.4,151.56,94.83,3.1,20,-277.5,-130.0,0.52,228-236
255,521.6,159.47,97.54,3.1,20,-335.5,-189.0,0.542,258-262
256,554.9,212.37,127.51,3.1,20,-289.1,-70.0,0.612,275-281
257,641.4,204.7,84.33,3.1,20,-294.0,-166.0,0.558,318-324
258,678.9,192.93,222.58,3.1,20,-348.0,-321.0,0.645,339-340
259,222.0,187.77,242.63,3.04,19,-358.7,-306.0,0.744,111-111
260,230.74,101.29,60.63,3.04,19,-275.3,66.0,0.634,113-117
261,238.11,171.57,24.3,3.04,19,-363.9,-321.0,0.508,114-124
262,230.84,225.74,205.67,3.04,19,-320.8,-202.0,0.663,114-117
263,258.0,205.61,87.69,3.04,19,-339.7,-257.0,0.963,129-129
264,267.79,218.89,193.01,3.04,19,-232.2,-40.0,0.631,132-135
265,271.47,142.64,290.18,3.04,19,-265.0,-84.0,0.561,133-140
266,268.53,178.49,280.9,3.04,19,-293.8,-136.0,0.629,133-137
267,268.0,149.33,83.19,3.04,19,-357.2,-311.0,0.736,134-134
268,270.0,166.09,78.11,3.04,19,-350.2,-271.0,0.736,135-135
269,294.42,146.61,80.8,3.04,19,-143.3,163.0,0.621,144-150
270,314.32,195.54,200.23,3.04,19,-259.9,-28.0,0.771,156-158
271,369.26,172.91,123.46,3.04,19,-182.4,41.0,0.516,182-190
272,493.16,194.52,196.52,3.04,19,-348.9,-262.0,0.579,245-249
273,528.53,205.97,129.82,3.04,19,-270.3,-78.0,0.567,261-267
274,526.32,198.78,144.19,3.04,19,-190.6,145.0,0.605,262-266
275,553.58,184.95,114.84,3.04,19,-263.9,-50.0,0.655,274-279
276,575.79,209.61,90.9,3.04,19,-316.2,-148.0,0.593,286-289
277,618.0,149.2,88.57,3.04,19,-356.6,-315.0,0.805,309-309
278,642.95,176.81,183.7,3.04,19,-280.5,12.0,0.668,320-323
279,685.47,171.14,130.12,3.04,19,-282.4,-70.0,0.627,342-343
280,696.0,178.42,118.25,3.04,19,-318.5,-132.0,0.661,348-348
